soil_sp,decay_cat,sterilization,plant_sp,pot_id,pair_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
E,fresh,live,E,198,b,N,0,0,1,0,0,0,O,326.05,66.56,0,0
E,fresh,live,E,199,i,N,1,0,1,0,1,0,O,947.5,375.98,0,0
E,fresh,live,E,200,j,N,1,0,0,0,0,0,O,263.83,60.85,0,0
E,shortd,sterile,E,201,i,D,0,0,1,0,1,1,CO,859.96,212.23,1,0
E,shortd,sterile,E,202,e,J,0,0,1,0,1,0,C,182.63,33.03,0,0
E,shortd,sterile,E,203,d,J,1,0,1,0,1,0,C,199.56,47.53,0,0
E,shortd,sterile,E,204,h,D,0,0,0,0,1,0,CO,996.3,231.09,1,0
E,shortd,sterile,E,205,g,D,0,0,1,0,1,0,CO,386.67,60.16,1,0
E,shortd,sterile,E,206,f,D,0,0,1,0,1,0,CO,229.49,51,0,0
E,shortd,sterile,E,207,b,J,0,0,1,0,1,0,CO,905.4,185.86,0,0
E,shortd,sterile,E,208,c,J,0,0,1,0,1,0,C,168.47,34.46,0,0
E,shortd,sterile,E,209,a,J,0,0,1,0,1,0,C,410.75,94.96,0,0
E,shortd,sterile,E,210,j,D,0,0,1,0,1,0,C,193.06,49.38,1,0
E,shortd,live,E,211,g,D,0,0,1,0,1,0,C,148.48,61.2,0,0
E,shortd,live,E,212,a,D,0,0,0,0,0,0,O,454.47,148.05,0,0
E,shortd,live,E,213,d,D,0,0,1,0,0,0,O,785.94,269.33,0,0
E,shortd,live,E,214,c,D,0,0,0,0,0,0,O,836.67,438.74,0,0
E,shortd,live,E,215,b,D,0,0,0,0,0,0,O,715.21,363.77,0,0
E,shortd,live,E,216,i,D,0,0,1,0,0,0,O,353.98,53.05,0,0
E,shortd,live,E,217,e,D,0,0,0,0,0,0,O,449.63,172.13,0,0
E,shortd,live,E,218,j,D,0,0,0,0,1,1,O,570.84,167.97,0,0
E,shortd,live,E,219,f,D,0,0,1,0,0,0,O,743.58,198.55,0,0
E,shortd,live,E,220,h,D,0,0,1,0,0,1,O,565.21,148.44,0,0
E,longd,sterile,E,221,a,O,0,0,1,0,1,0,C,332.63,86.26,1,0
E,longd,sterile,E,222,g,I,0,0,1,0,1,1,CO,495.71,77.57,0,0
E,longd,sterile,E,223,e,O,0,0,1,0,1,1,CO,382.42,96.12,1,0
E,longd,sterile,E,224,i,I,0,0,1,0,1,0,C,234.78,40.6,0,0
E,longd,sterile,E,225,f,I,0,0,1,0,1,1,CO,692.41,132.21,0,0
E,longd,sterile,E,226,h,I,0,0,1,0,1,1,CO,278.38,61.84,1,0
E,longd,sterile,E,227,d,O,0,0,1,0,1,0,CO,304.6,40.94,1,0
E,longd,sterile,E,228,c,O,0,0,1,0,1,1,C,506.29,100.38,1,0
E,longd,sterile,E,229,j,I,0,0,1,0,1,1,CO,622.56,116.31,1,0
E,longd,sterile,E,230,b,O,0,0,1,0,1,0,C,499.26,112.11,1,0
E,longd,live,E,231,d,I,0,0,1,0,1,1,O,675.05,155.44,0,0
E,longd,live,E,232,a,I,0,0,0,0,1,1,O,482.71,150.09,0,0
E,longd,live,E,233,c,I,0,0,1,0,1,1,CO,464.37,84.4,0,0
E,longd,live,E,234,e,I,0,0,0,0,0,1,O,633.7,196.73,0,0
E,longd,live,E,235,j,I,0,0,1,0,1,0,CO,401.92,62.53,0,0
E,longd,live,E,236,h,I,,,,,,,,Dead,Dead,,
E,longd,live,E,237,b,I,0,0,1,0,1,1,CO,207.42,57.64,0,0
E,longd,live,E,238,g,I,0,0,1,0,1,1,C,276.47,94.2,0,0
