soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
MACHZU,shortd,sterile,ENGERO,145,e,H,,3.4,4.5,5.2,5.6,6.6,6.9,7.1,7.5,7.7,8,8.7,0
MACHZU,shortd,sterile,ENGERO,146,a,H,,5.2,6.8,7.5,8.5,9,9,9.4,10,10.3,11.1,11.1,0
MACHZU,shortd,sterile,ENGERO,147,c,H,,2.9,4.5,5.6,6.4,6.7,6.8,6.8,7.2,7.5,8.1,8.5,0
MACHZU,shortd,sterile,ENGERO,148,h,G,,4.2,5,5.5,5.6,5.6,5.7,5.9,6,6.2,6.5,6.5,0
MACHZU,shortd,sterile,ENGERO,149,d,H,3/2,3,4,4.5,4.6,4.5,Dead,Dead,Dead,Dead,Dead,Dead,0
MACHZU,shortd,sterile,ENGERO,150,j,G,,NA,NA,NA,2.1,2.2,2.5,2.9,3.5,4.2,4.3,4.8,0
MACHZU,shortd,live,ENGERO,151,c,H,,4.5,6,6.4,6.5,7,7,7,7.1,7.2,7.3,7.7,0
MACHZU,shortd,live,ENGERO,152,j,H,,3.4,4.4,4.8,5.5,5.6,6,6.4,6.6,7.2,8.1,8.4,0
MACHZU,shortd,live,ENGERO,153,f,H,,3.6,5.1,6.1,6.9,6.9,7,7.4,7.5,8.1,8.5,8.8,0
MACHZU,shortd,live,ENGERO,154,b,H,,3.5,4.6,5.2,6,6.1,6.6,7,7.3,7.3,7.8,8.1,0
MACHZU,shortd,live,ENGERO,155,g,H,,3,4.7,5,6,6,6.2,6.7,7.2,7.5,8.2,8.6,0
MACHZU,shortd,live,ENGERO,156,d,H,,3.5,4.9,6,7.2,7.6,8,8,8.7,9.5,10.2,10.6,0
MACHZU,shortd,live,ENGERO,157,a,H,,3.5,5.7,6.9,7.7,8.4,8.7,9.2,9.7,10.1,11.2,12,0
MACHZU,shortd,live,ENGERO,158,i,H,,3.6,4.8,5.5,6.6,6.7,6.8,7.1,7.1,7.6,8,8.2,0
MACHZU,shortd,live,ENGERO,159,h,H,,3.1,4.5,5.9,6.7,7.1,7.5,7.5,8,8.3,9.2,9.4,0
MACHZU,shortd,live,ENGERO,160,e,H,,3.4,4,4.9,6,6,6.5,6.5,7.8,8.1,9.2,10.3,0
MACHZU,longd,sterile,ENGERO,41,i,Q,,2.8,4,4.3,4.7,5.2,5.5,5.8,6.1,6.6,3.4,3,1
MACHZU,longd,sterile,ENGERO,42,d,B,,3.7,4.7,5.2,6.1,6.1,6.5,7,7.4,8.4,8.8,9.5,0
MACHZU,longd,sterile,ENGERO,43,g,Q,,3.5,4.6,4.6,5.5,6.1,6.5,7.6,8.8,10.1,11.3,12.6,0
MACHZU,longd,sterile,ENGERO,44,b,B,,3.6,5,5.6,6.6,7.2,7.3,7.7,8.6,9.2,10.1,10.7,0
MACHZU,longd,sterile,ENGERO,45,j,Q,,NA,1.7,2.4,3,3.5,3.5,4.1,4.6,5.1,6,6.5,0
MACHZU,longd,sterile,ENGERO,46,c,B,,4.6,5.4,6,7,7.5,8.2,8.4,9,9.4,9.6,9.6,0
MACHZU,longd,sterile,ENGERO,47,e,B,,4,4.6,5.4,5.7,6,6.3,6.5,7.1,7.5,8.6,9,0
MACHZU,longd,sterile,ENGERO,48,f,Q,,3.8,5,5.7,6.2,6.5,7,7.3,7.5,8.5,8.9,9.7,0
MACHZU,longd,sterile,ENGERO,49,a,B,,4.1,5.4,6,6.7,7.3,7.5,8,8.2,8.6,9.6,10.1,0
MACHZU,longd,sterile,ENGERO,50,h,Q,,4.5,5,5.4,6.1,6.3,6.5,7,7.5,8,8,8.7,0
MACHZU,longd,live,ENGERO,171,f,B,,3.9,5.1,6,7,7.5,7.8,7.8,8.1,8.4,9.6,9.7,0
MACHZU,longd,live,ENGERO,172,i,B,,4.7,5.9,6.5,7,7.5,7.6,7.6,7.6,8.1,8.6,9,0
MACHZU,longd,live,ENGERO,173,g,B,,4.9,6,7.8,9.3,9.9,10.1,10.5,10.9,11.6,11.7,12.4,0
MACHZU,longd,live,ENGERO,174,b,B,,3.6,4.6,5,5.6,6,6.2,6.6,7.5,8,8.8,9.2,0
MACHZU,longd,live,ENGERO,175,c,B,,4,6,7,7.5,8,8.4,8.5,9,8,Dead,Dead,0
MACHZU,longd,live,ENGERO,176,j,B,,2.5,4.1,5.1,6.5,7.3,8.2,8.7,9.5,10.4,11.2,11.6,0
MACHZU,longd,live,ENGERO,177,a,B,,4,4.5,5.1,5.6,5.8,5.8,6,6.6,7,8.2,8.5,0
MACHZU,longd,live,ENGERO,178,e,B,,3.9,4.5,5.5,6.5,7.3,7.6,8.2,8.6,9.1,9.9,10.4,0
MACHZU,longd,live,ENGERO,179,d,B,,4.7,6.1,6.4,7.2,7.3,7.9,8,8.5,8.5,9.5,9.1,0
MACHZU,longd,live,ENGERO,180,h,B,,4.7,5.5,5.7,6.8,7.1,7.1,7.1,7.5,8,8.7,8.7,0
ENGERO,fresh,sterile,ENGERO,181,d,A,,4.4,6,7,7.4,8,8.1,8.5,10,11.7,12.9,13.2,0
ENGERO,fresh,sterile,ENGERO,182,f,N,,3.4,4.6,5,5.5,5.6,5.7,6.2,6.5,7.1,8.2,8.7,0
ENGERO,fresh,sterile,ENGERO,183,g,N,,3.5,4,4.5,5,5,5.3,6,6.1,6.2,7.1,7.4,0
ENGERO,fresh,sterile,ENGERO,184,h,N,,3.6,4.3,5.2,5.7,6.5,7,7.6,8,8.5,9.1,9.8,0
ENGERO,fresh,sterile,ENGERO,185,c,A,,5.1,6.7,7.6,8.1,8.4,9.3,10,11.1,12,12.3,12.9,0
ENGERO,fresh,sterile,ENGERO,186,b,A,3/2,4.1,4.4,4.7,4.7,4.7,Dead,Dead,Dead,Dead,Dead,Dead,0
ENGERO,fresh,sterile,ENGERO,187,a,A,,4.6,6,7,7.8,8.6,9,9.6,10.8,11.6,13,14.1,0
ENGERO,fresh,sterile,ENGERO,188,j,N,,1.7,3.7,4.7,6,6.7,7.5,8.5,10.1,12.1,14.4,15,0
ENGERO,fresh,sterile,ENGERO,189,e,A,,3.2,4.8,5.5,6,6.3,6.5,7.2,8,8.9,9.4,10,0
ENGERO,fresh,sterile,ENGERO,190,i,N,,3,4.1,4.5,6,6.5,7.3,8.3,9.1,9.5,10.2,10.7,0
ENGERO,fresh,live,ENGERO,191,h,N,,2.9,3.8,4.2,5,5.1,5.8,6,6.3,6.6,7.6,7.4,0
ENGERO,fresh,live,ENGERO,192,a,N,,3.7,5.6,6.2,6.7,7,7.4,8.2,9.1,9.6,11.5,11.7,0
ENGERO,fresh,live,ENGERO,193,g,N,,3.9,5.1,5.6,6.2,6.6,7,7.5,8,8.8,10.5,10.6,0
ENGERO,fresh,live,ENGERO,194,c,N,,4.2,5.7,6.3,7,7.8,9,9.3,10.1,11.2,12.7,12.5,0
ENGERO,fresh,live,ENGERO,195,d,N,,3.5,4.6,5.5,6.4,6.3,6.7,7,7.6,7.7,8.4,8.7,0
ENGERO,fresh,live,ENGERO,196,e,N,,5,6.2,6.5,7.7,8,8.4,8.6,9.5,10.5,11.5,11.7,0
ENGERO,fresh,live,ENGERO,197,f,N,,4.1,5,5.2,6.2,6.2,6.5,6.7,7,7.3,8.2,8.5,0
ENGERO,fresh,live,ENGERO,198,b,N,,4.1,6,6.7,7.5,8.1,8.1,8.5,8.5,10.2,10.7,11,0
ENGERO,fresh,live,ENGERO,199,i,N,,3,4.5,5.2,6.4,6.6,6.8,7.3,8.1,8.5,9.2,9.3,0
