"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"201",201,"E","shortd","sterile","E",201,"i","D",859.96,212.23,1,1,1072.19,13.7,0,8.4,0.2467905483976
"202",202,"E","shortd","sterile","E",202,"e","J",182.63,33.03,0,2,215.66,7,0,4.4,0.180857471390243
"203",203,"E","shortd","sterile","E",203,"d","J",199.56,47.53,0,3,247.09,10.3,0,6.3,0.238173982762077
"204",204,"E","shortd","sterile","E",204,"h","D",996.3,231.09,1,4,1227.39,12.5,0,9.8,0.231948208370973
"205",205,"E","shortd","sterile","E",205,"g","D",386.67,60.16,1,5,446.83,10,0,5.7,0.15558486564771
"206",206,"E","shortd","sterile","E",206,"f","D",229.49,51,0,6,280.49,10.7,0,6.8,0.222231905529653
"207",207,"E","shortd","sterile","E",207,"b","J",905.4,185.86,0,7,1091.26,9,0,5.6,0.205279434504087
"208",208,"E","shortd","sterile","E",208,"c","J",168.47,34.46,0,8,202.93,10.4,0,6.5,0.204546803585208
"209",209,"E","shortd","sterile","E",209,"a","J",410.75,94.96,0,9,505.71,15.5,0,10.7,0.231186853317103
"210",210,"E","shortd","sterile","E",210,"j","D",193.06,49.38,1,10,242.44,8.8,0,5.9,0.255775406609344
"211",211,"E","shortd","live","E",211,"g","D",148.48,61.2,0,1,209.68,11.5,0,7.6,0.412176724137931
"212",212,"E","shortd","live","E",212,"a","D",454.47,148.05,0,2,602.52,11.8,0,6,0.325764076836755
"213",213,"E","shortd","live","E",213,"d","D",785.94,269.33,0,3,1055.27,8.7,0,5,0.342685192253862
"214",214,"E","shortd","live","E",214,"c","D",836.67,438.74,0,4,1275.41,7.1,0,3.7,0.524388349050402
"215",215,"E","shortd","live","E",215,"b","D",715.21,363.77,0,5,1078.98,8.6,0,4.1,0.50861984591938
"216",216,"E","shortd","live","E",216,"i","D",353.98,53.05,0,6,407.03,6.5,0,3.1,0.149867224136957
"217",217,"E","shortd","live","E",217,"e","D",449.63,172.13,0,7,621.76,8.7,0,4.3,0.382825879056113
"218",218,"E","shortd","live","E",218,"j","D",570.84,167.97,0,8,738.81,9,0,5.9,0.294250578095438
"219",219,"E","shortd","live","E",219,"f","D",743.58,198.55,0,9,942.13,9.6,0,5.4,0.267019016111246
"220",220,"E","shortd","live","E",220,"h","D",565.21,148.44,0,10,713.65,8.4,0,4.8,0.26262804975142
"221",221,"E","longd","sterile","E",221,"a","O",332.63,86.26,1,1,418.89,8.8,0,5.3,0.25932718035054
"222",222,"E","longd","sterile","E",222,"g","I",495.71,77.57,0,2,573.28,13.4,0,9.2,0.156482620887212
"223",223,"E","longd","sterile","E",223,"e","O",382.42,96.12,1,3,478.54,8.7,1,4,0.251346686888761
"224",224,"E","longd","sterile","E",224,"i","I",234.78,40.6,0,4,275.38,10.2,0,7.5,0.172927847346452
"225",225,"E","longd","sterile","E",225,"f","I",692.41,132.21,0,5,824.62,14,0,9.5,0.190941783047616
"226",226,"E","longd","sterile","E",226,"h","I",278.38,61.84,1,6,340.22,8.7,0,6.8,0.222142395287018
"227",227,"E","longd","sterile","E",227,"d","O",304.6,40.94,1,7,345.54,8.2,0,4.7,0.134405778069599
"228",228,"E","longd","sterile","E",228,"c","O",506.29,100.38,1,8,606.67,10.5,0,8,0.198265816034289
"229",229,"E","longd","sterile","E",229,"j","I",622.56,116.31,1,9,738.87,7.3,0,5,0.186825366229761
"230",230,"E","longd","sterile","E",230,"b","O",499.26,112.11,1,10,611.37,10.5,0,6.2,0.22455233745944
"231",231,"E","longd","live","E",231,"d","I",675.05,155.44,0,1,830.49,12,0,7.4,0.230264424857418
"232",232,"E","longd","live","E",232,"a","I",482.71,150.09,0,2,632.8,10.7,0,6.3,0.310932029582979
"233",233,"E","longd","live","E",233,"c","I",464.37,84.4,0,3,548.77,11.5,0,6.6,0.181751620475052
"234",234,"E","longd","live","E",234,"e","I",633.7,196.73,0,4,830.43,10.3,0,6,0.310446583556888
"235",235,"E","longd","live","E",235,"j","I",401.92,62.53,0,5,464.45,11.9,0,8.7,0.155578224522293
"236",236,"E","longd","live","E",236,"h","I",NA,NA,NA,6,NA,NA,0,NA,NA
